,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_use_background_image,profile_background_tile,is_translator,protected,verified,description,target,account_age_days
0,2177,208,332,265,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,902
1,2660,330,485,3972,5,0,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,566
2,1254,166,177,1185,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1671
3,202968,2248,981,60304,101,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1900
4,82,21,79,5,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,298
5,12915,641,1066,1568,7,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,763
6,13676,1042,2000,19012,7,0,1,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,783
7,61294,561,118,590,4,1,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1743
8,4854,337,256,1407,4,0,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,816
9,2408,421,338,2227,5,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,966
10,24581,335,276,10570,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1526
11,2132,232,225,101,56,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,2417
12,10354,1948,2096,3,88,1,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,2469
13,18484,271,216,8487,0,1,1,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,885
14,88,16,74,397,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1580
15,2418,1190,355,1092,11,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1164
16,10839,7842,7836,8329,34,1,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,2027
17,4774,552,787,4029,11,0,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,680
18,36,223,166,864,2,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,658
19,9412,303,325,7304,2,1,1,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1816
20,55052,1978,197,7274,7,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1535
21,69809,1605,969,12583,2,0,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,2343
22,7207,212,150,1877,0,0,1,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,843
23,16677,1206,49,7008,6,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1616
