statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_use_background_image,profile_background_tile,description,label,account_age_days,genuine,social_spambot,traditional_spambot
2177,208,332,265,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1,genuine,902,True,False,False
2660,330,485,3972,5,0,1,1,1,1.0,0.0,1.0,1.0,0.0,1,genuine,566,True,False,False
1254,166,177,1185,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,1671,True,False,False
202968,2248,981,60304,101,1,1,1,1,0.0,0.0,1.0,1.0,0.0,1,genuine,1900,True,False,False
82,21,79,5,0,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,298,True,False,False
12915,641,1066,1568,7,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1,genuine,763,True,False,False
13676,1042,2000,19012,7,0,1,0,1,1.0,0.0,1.0,1.0,0.0,1,genuine,783,True,False,False
61294,561,118,590,4,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1743,True,False,False
4854,337,256,1407,4,0,1,0,0,1.0,0.0,1.0,1.0,0.0,0,genuine,816,True,False,False
2408,421,338,2227,5,0,1,1,0,1.0,0.0,1.0,1.0,0.0,1,genuine,966,True,False,False
24581,335,276,10570,4,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,genuine,1526,True,False,False
2132,232,225,101,56,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2417,True,False,False
10354,1948,2096,3,88,1,1,1,1,0.0,0.0,0.0,1.0,1.0,1,genuine,2469,True,False,False
18484,271,216,8487,0,1,1,1,0,0.0,0.0,1.0,1.0,1.0,1,genuine,885,True,False,False
88,16,74,397,0,0,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,1580,True,False,False
2418,1190,355,1092,11,1,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,1164,True,False,False
10839,7842,7836,8329,34,1,1,1,1,0.0,0.0,1.0,1.0,1.0,1,genuine,2027,True,False,False
4774,552,787,4029,11,0,1,0,1,1.0,0.0,0.0,1.0,0.0,1,genuine,680,True,False,False
36,223,166,864,2,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,genuine,658,True,False,False
